Date,Time,Pos,Speed,Speed_filt,Lux,Range,Diameter,,,,,,,,,,,,
11/21/2023,16:20:56;007,-2,-0.6,-0.3,15.49,21,14,,,,,,,,,,,,
11/21/2023,16:20:57;007,-3,-0.3,-0.3,15.1,22,12,,,,,,,,,,,,
11/21/2023,16:20:58;006,-5,-0.6,-0.45,14.98,23,10,,,,,,,,,,,,
11/21/2023,16:20:59;009,-6,-0.3,-0.38,15.42,24,8,,,,,,,,,,,,
11/21/2023,16:21:00;009,-8,-0.6,-0.49,15.87,25,6,,,,,,,,,,,,
11/21/2023,16:21:01;008,-9,-0.3,-0.39,16.45,21,14,,,,,,,,,,,,
11/21/2023,16:21:02;012,-10,-0.3,-0.35,16.9,23,10,,,,,,,,,,,,
11/21/2023,16:21:03;011,-12,-0.6,-0.47,16.7,22,12,,,,,,,,,,,,
11/21/2023,16:21:04;011,-13,-0.3,-0.39,16.06,23,10,,,,,,,,,,,,
11/21/2023,16:21:05;011,-15,-0.6,-0.49,15.74,22,12,,,,,,,,,,,,
11/21/2023,16:21:06;013,-17,-0.6,-0.55,15.23,24,8,,,,,,,,,,,,
11/21/2023,16:21:07;013,-18,-0.3,-0.42,15.23,22,12,,,,,,,,,,,,
11/21/2023,16:21:08;013,-20,-0.6,-0.51,15.55,23,10,,,,,,,,,,,,
11/21/2023,16:21:09;012,-22,-0.6,-0.56,16.26,23,10,,,,,,,,,,,,
11/21/2023,16:21:10;015,-23,-0.3,-0.43,16.83,24,8,,,,,,,,,,,,
11/21/2023,16:21:11;015,-25,-0.6,-0.51,17.28,22,12,,,,,,,,,,,,
11/21/2023,16:21:12;013,-25,0,-0.26,17.02,25,6,,,,,,,,,,,,
11/21/2023,16:21:13;013,-27,-0.6,-0.43,16.45,25,6,,,,,,,,,,,,
11/21/2023,16:21:14;016,-29,-0.6,-0.51,16.06,23,10,,,,,,,,,,,,
11/21/2023,16:21:15;015,-30,-0.3,-0.41,15.62,24,8,,,,,,,,,,,,
11/21/2023,16:21:16;015,-31,-0.3,-0.35,15.62,25,6,,,,,,,,,,,,
11/21/2023,16:21:17;014,-33,-0.6,-0.48,15.74,23,10,,,,,,,,,,,,
11/21/2023,16:21:18;019,-34,-0.3,-0.39,16.26,25,6,,,,,,,,,,,,
11/21/2023,16:21:19;017,-36,-0.6,-0.49,16.83,24,8,,,,,,,,,,,,
11/21/2023,16:21:20;017,-38,-0.6,-0.55,17.6,25,6,,,,,,,,,,,,
11/21/2023,16:21:21;015,-39,-0.3,-0.42,17.6,22,12,,,,,,,,,,,,
11/21/2023,16:21:22;019,-40,-0.3,-0.36,17.09,23,10,,,,,,,,,,,,
11/21/2023,16:21:23;019,-41,-0.3,-0.33,16.64,22,12,,,,,,,,,,,,
11/21/2023,16:21:24;018,-43,-0.6,-0.47,16.19,23,10,,,,,,,,,,,,
11/21/2023,16:21:25;018,-45,-0.6,-0.53,16.06,21,14,,,,,,,,,,,,
11/21/2023,16:21:26;021,-47,-0.6,-0.57,16.32,21,14,,,,,,,,,,,,
11/21/2023,16:21:27;020,-48,-0.3,-0.43,16.45,23,10,,,,,,,,,,,,
11/21/2023,16:21:28;020,-50,-0.6,-0.52,16.96,23,10,,,,,,,,,,,,2.7
11/21/2023,16:21:29;018,-51,-0.3,-0.41,17.66,20,16,,,,,,,,,,,,
11/21/2023,16:21:30;022,-53,-0.6,-0.5,17.41,23,10,,,,,,,,,,,,0.404797601
11/21/2023,16:21:31;021,-55,-0.6,-0.55,16.96,22,12,,,,,,,,,,,,
11/21/2023,16:21:32;020,-56,-0.3,-0.43,16.51,23,10,,,,,,,,,,,,
11/21/2023,16:21:33;025,-57,-0.3,-0.36,16.13,25,6,,,,,,,,,,,,
11/21/2023,16:21:34;024,-61,-1.2,-0.78,15.94,25,6,,,,,,,,,,,,
11/21/2023,16:21:35;023,-57,1.2,0.21,16.45,25,6,,,,,,,,,,,,
11/21/2023,16:21:36;022,-58,-0.3,-0.05,17.09,22,12,,,,,,,,,,,,
11/21/2023,16:21:37;026,-59,-0.3,-0.17,17.22,26,4,,,,,,,,,,,,
11/21/2023,16:21:38;025,-61,-0.6,-0.39,17.66,22,12,,,,,,,,,,,,
11/21/2023,16:21:39;025,-62,-0.3,-0.34,17.47,25,6,,,,,,,,,,,,
11/21/2023,16:21:40;024,-64,-0.6,-0.47,17.15,22,12,,,,,,,,,,,,
11/21/2023,16:21:41;028,-65,-0.3,-0.39,16.7,22,12,,,,,,,,,,,,
11/21/2023,16:21:42;027,-67,-0.6,-0.49,16.13,23,10,,,,,,,,,,,,
11/21/2023,16:21:43;026,-67,0,-0.25,15.81,22,12,,,,,,,,,,,,
11/21/2023,16:21:44;026,-69,-0.6,-0.42,16.13,22,12,,,,,,,,,,,,
11/21/2023,16:21:45;028,-68,0.3,-0.06,16.7,22,12,,,,,,,,,,,,
11/21/2023,16:21:46;028,-70,-0.6,-0.33,17.34,21,14,,,,,,,,,,,,
11/21/2023,16:21:47;028,-72,-0.6,-0.47,17.73,23,10,,,,,,,,,,,,
11/21/2023,16:21:48;027,-74,-0.6,-0.53,17.54,22,12,,,,,,,,,,,,
11/21/2023,16:21:49;031,-75,-0.3,-0.42,17.02,25,6,,,,,,,,,,,,
11/21/2023,16:21:50;030,-77,-0.6,-0.51,16.77,23,10,,,,,,,,,,,,
11/21/2023,16:21:51;029,-79,-0.6,-0.55,16.32,21,14,,,,,,,,,,,,
11/21/2023,16:21:52;028,-73,1.8,0.62,16.06,25,6,,,,,,,,,,,,
11/21/2023,16:21:53;031,-71,0.6,0.61,16.38,23,10,,,,,,,,,,,,
11/21/2023,16:21:54;031,-73,-0.6,0.01,16.7,23,10,,,,,,,,,,,,
11/21/2023,16:21:55;031,-74,-0.3,-0.15,17.41,24,8,,,,,,,,,,,,
11/21/2023,16:21:56;030,-75,-0.3,-0.22,17.79,23,10,,,,,,,,,,,,
11/21/2023,16:21:57;033,-74,0.3,0.04,17.92,24,8,,,,,,,,,,,,
11/21/2023,16:21:58;033,-75,-0.3,-0.13,17.41,23,10,,,,,,,,,,,,
11/21/2023,16:21:59;032,-77,-0.6,-0.37,16.58,22,12,,,,,,,,,,,,
11/21/2023,16:22:00;035,-78,-0.3,-0.33,16.26,22,12,,,,,,,,,,,,
11/21/2023,16:22:01;035,-80,-0.6,-0.47,16.13,23,10,,,,,,,,,,,,
11/21/2023,16:22:02;035,-81,-0.3,-0.38,16.45,27,2,,,,,,,,,,,,
11/21/2023,16:22:03;033,-83,-0.6,-0.49,17.09,25,6,,,,,,,,,,,,
11/21/2023,16:22:04;037,-85,-0.6,-0.55,17.66,19,18,,,,,,,,,,,,
11/21/2023,16:22:05;036,-86,-0.3,-0.42,18.43,21,14,,,,,,,,,,,,
11/21/2023,16:22:06;036,-71,4.5,2.04,18.24,23,10,,,,,,,,,,,,
11/21/2023,16:22:07;035,-72,-0.3,0.87,17.73,24,8,,,,,,,,,,,,
11/21/2023,16:22:08;038,-75,-0.9,-0.02,17.22,24,8,,,,,,,,,,,,
11/21/2023,16:22:09;038,-76,-0.3,-0.16,16.9,25,6,,,,,,,,,,,,
11/21/2023,16:22:10;038,-78,-0.6,-0.38,16.58,28,0,,,,,,,,,,,,
11/21/2023,16:22:11;037,-74,1.2,0.41,16.83,23,10,,,,,,,,,,,,
11/21/2023,16:22:12;040,-76,-0.6,-0.09,17.47,22,12,,,,,,,,,,,,
11/21/2023,16:22:13;039,-73,0.9,0.4,17.98,21,14,,,,,,,,,,,,
11/21/2023,16:22:14;039,-74,-0.3,0.05,18.56,24,8,,,,,,,,,,,,
11/21/2023,16:22:15;038,-68,1.8,0.93,18.37,27,2,,,,,,,,,,,,
11/21/2023,16:22:16;042,-70,-0.6,0.16,17.86,23,10,,,,,,,,,,,,
11/21/2023,16:22:17;040,-71,-0.3,-0.07,17.34,21,14,,,,,,,,,,,,
11/21/2023,16:22:18;040,-73,-0.6,-0.33,16.96,25,6,,,,,,,,,,,,
11/21/2023,16:22:19;040,-74,-0.3,-0.32,16.7,22,12,,,,,,,,,,,,
11/21/2023,16:22:20;043,-76,-0.6,-0.46,16.9,23,10,,,,,,,,,,,,
11/21/2023,16:22:21;043,-77,-0.3,-0.38,17.66,23,10,,,,,,,,,,,,
11/21/2023,16:22:22;042,-68,2.7,1.16,18.3,22,12,,,,,,,,,,,,
11/21/2023,16:22:23;042,-70,-0.6,0.28,18.69,24,8,,,,,,,,,,,,
11/21/2023,16:22:24;045,-67,0.9,0.59,18.69,23,10,,,,,,,,,,,,
11/21/2023,16:22:25;044,-59,2.4,1.5,18.37,19,18,,,,,,,,,,,,
11/21/2023,16:22:26;043,-60,-0.3,0.6,17.86,22,12,,,,,,,,,,,,
11/21/2023,16:22:27;043,-61,-0.3,0.15,17.09,23,10,,,,,,,,,,,,
11/21/2023,16:22:28;046,-56,1.5,0.82,17.02,22,12,,,,,,,,,,,,
11/21/2023,16:22:29;046,-58,-0.6,0.11,17.6,22,12,,,,,,,,,,,,
11/21/2023,16:22:30;044,-60,-0.6,-0.24,17.86,22,12,,,,,,,,,,,,
11/21/2023,16:22:31;045,-63,-0.9,-0.57,18.56,27,2,,,,,,,,,,,,
11/21/2023,16:22:32;048,-64,-0.3,-0.44,18.88,23,10,,,,,,,,,,,,
11/21/2023,16:22:33;047,-65,-0.3,-0.37,18.69,22,12,,,,,,,,,,,,
11/21/2023,16:22:34;046,-66,-0.3,-0.33,18.3,24,8,,,,,,,,,,,,
11/21/2023,16:22:35;050,-61,1.5,0.58,17.86,25,6,,,,,,,,,,,,
11/21/2023,16:22:36;049,-62,-0.3,0.14,17.09,21,14,,,,,,,,,,,,
11/21/2023,16:22:37;048,-64,-0.6,-0.23,16.9,23,10,,,,,,,,,,,,
11/21/2023,16:22:38;048,-64,0,-0.11,17.34,21,14,,,,,,,,,,,,
11/21/2023,16:22:39;051,-65,-0.3,-0.21,17.92,28,0,,,,,,,,,,,,
11/21/2023,16:22:40;050,-67,-0.6,-0.4,18.56,25,6,,,,,,,,,,,,
11/21/2023,16:22:41;051,-68,-0.3,-0.35,19.07,22,12,,,,,,,,,,,,
11/21/2023,16:22:42;049,-64,1.2,0.42,19.14,23,10,,,,,,,,,,,,
11/21/2023,16:22:43;053,-66,-0.6,-0.09,18.5,22,12,,,,,,,,,,,,
11/21/2023,16:22:44;052,-67,-0.3,-0.19,17.92,23,10,,,,,,,,,,,,
11/21/2023,16:22:45;051,-64,0.9,0.35,17.54,22,12,,,,,,,,,,,,
11/21/2023,16:22:46;051,-65,-0.3,0.03,17.22,26,4,,,,,,,,,,,,
11/21/2023,16:22:47;054,-67,-0.6,-0.29,17.66,23,10,,,,,,,,,,,,
11/21/2023,16:22:48;053,-69,-0.6,-0.44,18.24,24,8,,,,,,,,,,,,
11/21/2023,16:22:49;053,-70,-0.3,-0.37,18.62,20,16,,,,,,,,,,,,
11/21/2023,16:22:50;052,-72,-0.6,-0.49,19.2,23,10,,,,,,,,,,,,
11/21/2023,16:22:51;056,-71,0.3,-0.09,19.39,24,8,,,,,,,,,,,,
11/21/2023,16:22:52;055,-73,-0.6,-0.35,18.75,22,12,,,,,,,,,,,,
11/21/2023,16:22:53;055,-74,-0.3,-0.32,18.3,22,12,,,,,,,,,,,,
11/21/2023,16:22:54;053,-75,-0.3,-0.31,17.73,25,6,,,,,,,,,,,,
11/21/2023,16:22:55;056,-77,-0.6,-0.46,17.34,21,14,,,,,,,,,,,,
11/21/2023,16:22:56;056,-78,-0.3,-0.38,17.6,27,2,,,,,,,,,,,,
11/21/2023,16:22:57;056,-80,-0.6,-0.49,18.18,25,6,,,,,,,,,,,,
11/21/2023,16:22:58;055,-81,-0.3,-0.39,18.88,20,16,,,,,,,,,,,,
11/21/2023,16:22:59;059,-80,0.3,-0.05,19.58,25,6,,,,,,,,,,,,
11/21/2023,16:23:00;058,-81,-0.3,-0.17,19.46,22,12,,,,,,,,,,,,
11/21/2023,16:23:01;058,-83,-0.6,-0.39,19.07,23,10,,,,,,,,,,,,
11/21/2023,16:23:02;057,-85,-0.6,-0.49,18.37,25,6,,,,,,,,,,,,
11/21/2023,16:23:03;061,-86,-0.3,-0.4,17.86,20,16,,,,,,,,,,,,
11/21/2023,16:23:04;060,-87,-0.3,-0.35,17.54,26,4,,,,,,,,,,,,
11/21/2023,16:23:05;058,-89,-0.6,-0.47,17.86,25,6,,,,,,,,,,,,
11/21/2023,16:23:06;063,-90,-0.3,-0.39,18.24,22,12,,,,,,,,,,,,
11/21/2023,16:23:07;062,-92,-0.6,-0.49,19.07,21,14,,,,,,,,,,,,
11/21/2023,16:23:08;061,-94,-0.6,-0.55,19.65,25,6,,,,,,,,,,,,
11/21/2023,16:23:09;060,-97,-0.9,-0.72,19.84,23,10,,,,,,,,,,,,
11/21/2023,16:23:10;064,-98,-0.3,-0.51,19.14,26,4,,,,,,,,,,,,
11/21/2023,16:23:11;063,-100,-0.6,-0.56,18.62,20,16,,,,,,,,,,,,
11/21/2023,16:23:12;062,-101,-0.3,-0.43,18.3,20,16,,,,,,,,,,,,
11/21/2023,16:23:13;062,-103,-0.6,-0.51,17.73,24,8,,,,,,,,,,,,
11/21/2023,16:23:14;065,-105,-0.6,-0.56,17.98,24,8,,,,,,,,,,,,
11/21/2023,16:23:15;065,-106,-0.3,-0.43,18.56,25,6,,,,,,,,,,,,
11/21/2023,16:23:16;064,-107,-0.3,-0.36,19.07,23,10,,,,,,,,,,,,
11/21/2023,16:23:17;063,-109,-0.6,-0.48,19.84,21,14,,,,,,,,,,,,
11/21/2023,16:23:18;067,-110,-0.3,-0.39,19.65,20,16,,,,,,,,,,,,
11/21/2023,16:23:19;067,-112,-0.6,-0.5,19.26,24,8,,,,,,,,,,,,
11/21/2023,16:23:20;066,-113,-0.3,-0.4,19.01,24,8,,,,,,,,,,,,
11/21/2023,16:23:21;064,-115,-0.6,-0.5,18.11,20,16,,,,,,,,,,,,
11/21/2023,16:23:22;067,-116,-0.3,-0.4,18.05,19,18,,,,,,,,,,,,
11/21/2023,16:23:23;068,-118,-0.6,-0.5,18.18,22,12,,,,,,,,,,,,
11/21/2023,16:23:24;067,-119,-0.3,-0.4,18.82,29,-2,,,,,,,,,,,,
11/21/2023,16:23:25;067,-121,-0.6,-0.5,19.39,20,16,,,,,,,,,,,,
11/21/2023,16:23:26;069,-123,-0.6,-0.55,19.78,22,12,,,,,,,,,,,,
11/21/2023,16:23:27;069,-125,-0.6,-0.57,20.29,21,14,,,,,,,,,,,,
11/21/2023,16:23:28;069,-126,-0.3,-0.44,19.39,22,12,,,,,,,,,,,,
11/21/2023,16:23:29;069,-128,-0.6,-0.52,18.94,22,12,,,,,,,,,,,,
11/21/2023,16:23:30;071,-130,-0.6,-0.56,18.56,23,10,,,,,,,,,,,,
11/21/2023,16:23:31;070,-131,-0.3,-0.43,17.86,21,14,,,,,,,,,,,,
11/21/2023,16:23:32;070,-133,-0.6,-0.51,18.43,21,14,,,,,,,,,,,,
11/21/2023,16:23:33;073,-135,-0.6,-0.56,18.82,20,16,,,,,,,,,,,,
11/21/2023,16:23:34;073,-136,-0.3,-0.43,19.46,25,6,,,,,,,,,,,,
11/21/2023,16:23:35;073,-138,-0.6,-0.51,20.22,21,14,,,,,,,,,,,,
11/21/2023,16:23:36;072,-139,-0.3,-0.41,20.29,17,22,,,,,,,,,,,,
11/21/2023,16:23:37;075,-141,-0.6,-0.5,19.97,25,6,,,,,,,,,,,,
11/21/2023,16:23:38;073,-142,-0.3,-0.4,19.2,23,10,,,,,,,,,,,,
11/21/2023,16:23:39;073,-144,-0.6,-0.5,18.62,22,12,,,,,,,,,,,,
11/21/2023,16:23:40;073,-146,-0.6,-0.55,18.24,20,16,,,,,,,,,,,,
11/21/2023,16:23:41;076,-147,-0.3,-0.43,18.56,23,10,,,,,,,,,,,,
11/21/2023,16:23:42;075,-148,-0.3,-0.36,19.01,23,10,,,,,,,,,,,,
11/21/2023,16:23:43;075,-148,0,-0.18,19.52,23,10,,,,,,,,,,,,
11/21/2023,16:23:44;074,-149,-0.3,-0.24,20.03,21,14,,,,,,,,,,,,
11/21/2023,16:23:45;077,-151,-0.6,-0.42,20.48,20,16,,,,,,,,,,,,
11/21/2023,16:23:46;077,-152,-0.3,-0.36,19.84,20,16,,,,,,,,,,,,
11/21/2023,16:23:47;076,-154,-0.6,-0.48,19.26,23,10,,,,,,,,,,,,
11/21/2023,16:23:48;076,-156,-0.6,-0.54,18.69,24,8,,,,,,,,,,,,
11/21/2023,16:23:49;079,-157,-0.3,-0.42,18.18,21,14,,,,,,,,,,,,
11/21/2023,16:23:50;079,-159,-0.6,-0.51,18.62,23,10,,,,,,,,,,,,
